final_asset,ruined
2508681.2364870175,0
-5641087.483062489,1
38661957.820281476,0
12004939.67652409,0
7715795.041318456,0
44221151.7891232,0
8337310.4834422385,0
9280855.638172101,0
13488200.720962526,0
21275899.53165313,0
2253924.7221653964,0
41369566.528854124,0
35881051.787884586,0
22549482.686638102,0
-3735769.8960731463,1
20899264.359093588,0
32414137.005948957,0
-7040665.65773827,1
9061089.378742738,0
-2296449.376191123,1
-4515811.376717372,1
11228493.654084371,0
24475951.450595204,0
17701586.471755523,0
2384302.874612789,0
70065160.20826972,0
4020333.7793745673,0
14369544.65932359,0
7394858.0098299375,0
33767703.881457284,0
13864015.564647652,0
11058504.887110688,0
27477137.17343488,0
14841690.79300769,0
11986405.591465617,0
28832196.670286402,0
14196953.206128754,0
-4259556.687054936,1
26160370.835779175,0
21002828.79683788,0
27784041.50992897,0
58116460.29459507,0
29396855.826290943,0
22911558.254726112,0
6553974.927753092,0
15466531.43370611,0
17677332.162346132,0
5142584.086017933,0
14572021.051283887,0
23030559.031404242,0
3986845.093234829,0
86516371.49579272,0
9669523.725260342,0
42169995.39138307,0
28546185.044053264,0
11844912.265742963,0
477682.0372453168,0
16983142.868811842,0
11626114.170492709,0
40273771.77676629,0
22986875.120001413,0
-1053425.1884036195,1
70936151.84038603,0
1131387.9754729627,0
3567585.5398216294,0
76963705.26817016,0
14653937.609359575,0
-9257258.32372204,1
7741422.428736978,0
16296151.749504665,0
31373503.232227664,0
13238888.59037058,0
46982945.54081862,0
34638713.92065247,0
-8334173.791092416,1
8488691.584844595,0
-2206975.498355885,1
30215946.29320772,0
19767228.404331695,0
20105791.739602692,0
78125380.81325373,0
-2261278.4235084387,1
12379966.70418427,0
10502403.364960518,0
17298105.4627088,0
21554849.401987143,0
20834370.258183554,0
51328341.60840102,0
12956882.026117776,0
96887581.18541121,0
7871959.75370653,0
1525939.510672228,0
23619742.613089498,0
39690881.86732661,0
22094355.282027446,0
33524338.786784433,0
45839498.80189319,0
33335226.37345798,0
14768596.324957225,0
31433170.368107352,0
-5651460.17153744,1
1496642.0758557157,0
-2453009.9468933227,1
5633363.93242314,0
30328807.046813745,0
-8808010.352109805,1
6776703.130871438,0
27461137.70358242,0
27601139.473973185,0
40434783.13961876,0
12051186.585142808,0
8787600.112401672,0
52343114.73779528,0
-2705681.7181183016,1
24901864.07459166,0
3489878.0611545527,0
14545112.152096368,0
14494495.044200737,0
4103245.625383071,0
6001689.250006957,0
13399691.443325115,0
-11623553.207380194,1
53861194.04064438,0
68466477.7993107,0
-11004474.651890647,1
9670432.993826434,0
3967222.693664384,0
1749362.1823532798,0
11808745.803909319,0
-3318070.533012285,1
36345744.59867775,0
43062785.87798185,0
4754143.762325624,0
5883720.718284928,0
4360368.858654049,0
10186635.21297497,0
18460260.089252193,0
9239889.44259601,0
35813077.76485273,0
30720205.211869143,0
16640540.15255527,0
11204361.166768016,0
5300559.792830455,0
16881470.800000783,0
27936717.08641766,0
8452677.090649761,0
-3453887.5707828333,1
29443735.281766478,0
6415432.871352645,0
34215580.11814053,0
25351425.768124152,0
24631665.712107785,0
15914065.713055784,0
39226630.80057419,0
11728226.662663268,0
5669889.987275344,0
38909438.210732356,0
12042896.277967816,0
38915928.28504534,0
30602622.205266662,0
9648726.897285858,0
21824966.06072884,0
9595098.441191733,0
18099213.792842373,0
19510537.906272817,0
26787820.769801017,0
50032418.372952856,0
46389415.385575816,0
-7377174.242427733,1
38740702.78812216,0
39917481.109111436,0
15869778.994633354,0
14659890.92904147,0
36326311.57052822,0
8096184.974920312,0
-851632.3949564485,1
20343114.319908347,0
4314640.4905132735,0
19298041.287289668,0
-8830057.01858232,1
-5479732.6768105645,1
47198682.506744176,0
10904504.266707094,0
17704983.46148798,0
25695783.23330569,0
51436934.851871476,0
3646391.742501716,0
23976022.865228243,0
1123287.5615051992,0
-2234575.3136446746,1
5564111.892721652,0
16136303.118720982,0
8259158.348177309,0
6740788.293155679,0
25173390.186308056,0
28735403.158908308,0
15564955.299856137,0
21549638.060536005,0
13238284.220157761,0
22530784.63441918,0
7026258.350909962,0
-2661814.2621617885,1
17811930.52759627,0
-6849339.780181667,1
18628708.03895353,0
199024.12928901098,0
-14511809.285814622,1
17446554.232715473,0
48856168.373056196,0
5855380.568659048,0
26256839.94037484,0
35037499.900739506,0
37794514.350606486,0
-2238877.192894889,1
25077338.61300269,0
5538875.405463863,0
5708694.00462956,0
10512167.377541944,0
90892986.86837293,0
19715085.78213574,0
3827549.278388079,0
407543.98329784686,0
9677339.616241327,0
609159.6953919143,0
8839873.55928467,0
7122931.26431197,0
81006543.55658765,0
20155298.07662407,0
4312548.054297286,0
19104508.918792497,0
22202980.550696693,0
7283658.401349234,0
20921384.628621344,0
-3456032.9577216916,1
42874539.344215594,0
41824717.18464518,0
5027122.4658302795,0
22124726.99595826,0
25446695.65818508,0
-4170380.1516181203,1
25471237.322307695,0
29169654.289784707,0
906184.8175066328,0
10915823.549449643,0
16777319.396438662,0
-2138125.465101149,1
27830632.00820694,0
15706484.675008396,0
16685401.913011216,0
59920336.076405235,0
10602957.642021405,0
8352785.547559786,0
4799591.616416888,0
21663946.461852,0
43182835.69363816,0
-4998142.246315926,1
17085670.48275689,0
13688950.010154922,0
17515932.289679293,0
37693254.842688985,0
25109452.741882484,0
7970821.2129292665,0
6700164.880506961,0
20430915.992501307,0
-10619428.217401389,1
33740618.32152524,0
9234068.444728022,0
-4479244.408198867,1
26377665.5788001,0
27780605.95766643,0
1796207.660320548,0
14509033.691909306,0
33698668.24197239,0
30580022.10761095,0
35214934.86749752,0
20190467.304978155,0
7234068.016128076,0
-1490651.707275729,1
24335209.231688082,0
2726940.8872649106,0
80298797.3407158,0
33756140.801090196,0
8222617.409439951,0
31250949.139841124,0
5026154.405398298,0
12952359.165452378,0
17383033.6216328,0
89731366.43360546,0
-14164977.557209875,1
4918537.181140105,0
