year,mode,mean,median,p05,p25,p75,p95,share_negative
1,10270980,10159186,10132222,8771864,9545448,10735289,11645153,0.0
2,10520438,10579261,10526098,8698813,9720196,11351043,12693531,0.0
3,10548795,11001833,10899397,8659405,9917718,11955474,13670697,0.0
4,10948849,11463871,11318338,8698490,10157286,12633042,14724878,0.0
5,10914504,11917993,11731972,8767095,10412516,13192167,15755729,0.0
6,11534480,12398451,12173059,8861800,10688960,13841382,16795430,0.0
7,12664832,12907591,12648052,8997850,10974230,14508338,17813930,0.0
8,12187348,13418520,13086975,9154582,11309981,15166804,18695609,0.0
9,12399262,13957822,13573576,9301843,11644087,15868810,19882481,0.0
10,13607091,14530500,14083315,9462122,11975413,16615358,21156004,0.0
11,12778541,14449184,13959394,8978205,11650214,16702283,21735785,0.0
12,11948058,14348271,13811310,8469377,11320979,16785764,22100687,0.0
13,11713918,14204424,13583251,7922627,10910176,16783691,22696880,0.0
14,11601739,14020400,13317946,7318297,10511988,16771672,22981927,0.0
15,12214082,13799064,13034422,6735670,10067555,16588169,23475593,0.0
16,11107227,13565712,12763564,6155989,9595364,16499072,23870929,0.0
17,10056019,13307170,12431890,5462898,9091976,16374643,24337755,0.0
18,10272585,13006535,12000923,4805893,8547011,16269973,24641385,0.0
19,8905777,12664126,11577163,4076500,7975652,16069456,25094054,0.001
20,7535388,12293911,11118986,3319689,7320307,15831031,25426664,0.002
21,8167404,11861801,10607311,2447066,6659664,15526465,25580230,0.007
22,7157695,11394920,10039232,1630163,5945324,15302031,25715984,0.016
23,6827883,10888557,9489977,720646,5194084,14865467,26070354,0.033
24,4449416,10325415,8850059,-265164,4339149,14336717,26284702,0.056
25,2957989,9717325,8149440,-1304924,3448302,13985134,26312265,0.087
26,2247543,9050344,7367784,-2426222,2499726,13481291,26649142,0.13
27,1011022,8325045,6584637,-3527488,1487121,12930151,26713198,0.177
28,-52521,7535371,5691682,-4837671,426527,12227494,26826986,0.227
29,-1176901,6686741,4688241,-6183491,-726355,11573111,26593530,0.286
30,-2539488,5771682,3641700,-7636889,-1946415,10761507,26788388,0.341
31,-3965218,4793475,2549950,-9206794,-3236203,9982787,26714150,0.395
32,-4187001,3713972,1393668,-10830646,-4621564,9068583,26326964,0.445
33,-6237074,2566310,141312,-12523722,-6105118,8152339,26420923,0.495
34,-7856646,1330951,-1199002,-14447294,-7613354,7039498,26007942,0.545
35,-8910574,703,-2615879,-16532435,-9294781,5882687,25994245,0.589
